,YEARMODA,TEMP,MAX,MIN,DIFF,DIFF_Min,TEMP_Celsius,Celsius_rounded
0,20160601,65.5,73.6,54.7,18.89999999999999,10.799999999999997,18.61111111111111,19.0
1,20160602,65.8,80.8,55.0,25.799999999999997,10.799999999999997,18.777777777777775,19.0
2,20160603,68.4,77.9,55.6,22.300000000000004,12.800000000000004,20.222222222222225,20.0
3,20160604,57.5,70.9,47.3,23.60000000000001,10.200000000000003,14.166666666666666,14.0
4,20160605,51.4,58.3,43.2,15.099999999999994,8.199999999999996,10.777777777777777,11.0
5,20160606,52.2,59.7,42.8,16.900000000000006,9.400000000000006,11.222222222222223,11.0
6,20160607,56.9,65.1,45.9,19.199999999999996,11.0,13.833333333333332,14.0
7,20160608,54.2,60.4,47.5,12.899999999999999,6.700000000000003,12.333333333333334,12.0
8,20160609,49.4,54.1,45.7,8.399999999999999,3.6999999999999957,9.666666666666666,10.0
9,20160610,49.5,55.9,43.0,12.899999999999999,6.5,9.722222222222221,10.0
10,20160611,54.0,62.1,41.7,20.4,12.299999999999997,12.222222222222221,12.0
11,20160612,55.4,64.2,46.0,18.200000000000003,9.399999999999999,12.999999999999998,13.0
12,20160613,58.3,68.2,47.3,20.900000000000006,11.0,14.611111111111109,15.0
13,20160614,59.7,67.8,47.8,20.0,11.900000000000006,15.38888888888889,15.0
14,20160615,63.4,70.3,49.3,21.0,14.100000000000001,17.444444444444443,17.0
15,20160616,57.8,67.5,55.6,11.899999999999999,2.1999999999999957,14.333333333333332,14.0
16,20160617,60.4,70.7,55.9,14.800000000000004,4.5,15.777777777777777,16.0
17,20160618,57.3,62.8,54.0,8.799999999999997,3.299999999999997,14.055555555555554,14.0
18,20160619,56.3,59.2,54.1,5.100000000000001,2.1999999999999957,13.499999999999998,13.0
19,20160620,59.3,69.1,52.2,16.89999999999999,7.099999999999994,15.166666666666664,15.0
20,20160621,62.6,71.4,50.4,21.000000000000007,12.200000000000003,17.0,17.0
21,20160622,61.7,70.2,55.4,14.800000000000004,6.300000000000004,16.5,16.0
22,20160623,60.9,67.1,54.9,12.199999999999996,6.0,16.055555555555554,16.0
23,20160624,61.1,68.9,56.7,12.200000000000003,4.399999999999999,16.166666666666668,16.0
24,20160625,65.7,75.4,57.9,17.500000000000007,7.800000000000004,18.722222222222225,19.0
25,20160626,69.6,77.7,60.3,17.400000000000006,9.299999999999997,20.888888888888886,21.0
26,20160627,60.7,70.0,57.6,12.399999999999999,3.1000000000000014,15.944444444444446,16.0
27,20160628,65.4,73.0,55.8,17.200000000000003,9.600000000000009,18.555555555555557,19.0
28,20160629,65.8,73.2,59.7,13.5,6.099999999999994,18.777777777777775,19.0
29,20160630,65.7,72.7,59.2,13.5,6.5,18.722222222222225,19.0
